,id,day,airline,destination,dest_region,dest_size,boarding_area,dept_time,wait_min,cleanliness,safety,satisfaction,full_name,survey_response
15,2345,Tuesday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,12/31/2018,155,Somewhat clean,Somewhat safe,Somewhat satsified,Miss Volks,Terrible
16,390,Friday,ALASKA,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,175,Somewhat clean,Neutral,Somewhat satsified,Mr.Jones,It was substandard
17,954,Tuesday,ALASKA,NEW YORK-JFK,EAST US,    Hub,Gates 50-59,12/31/2018,100,Clean,Very safe,Very satisfied,Mr.Bim,"The airport personnel failed to notify us about the delay, which caused significant confusion and inconvenience. We were left uninformed, missing crucial updates regarding our flight status, which led to unnecessary waiting and frustration among all the passengers. The lack of communication was disappointing"
18,2913,Friday,TURKISH AIRLINES,ISTANBUL,Middle East,Hub,Gates 91-102,12/31/2018,225,Clean,Very safe,Somewhat satsified,Ms.Craig,"The food at the airport was incredibly expensive, far more than what I had anticipated. Every option, whether it was a snack or a meal, seemed overpriced. It felt like they were taking advantage of travelers, leaving us with no affordable dining alternatives while waiting for our flights"
19,803,Sunday,ALASKA,BALTIMORE,East US,Medium,Gates 50-59,12/31/2018,155,Clean,Very safe,Very satisfied,Dr.Tol,"One of the other travelers was extremely loud and disruptive throughout the entire waiting period at the airport. They were talking on their phone at a high volume, seemingly unaware of how uncomfortable they were making everyone around them. Despite multiple people giving them looks, they continued without any consideration for the rest of the passengers. It made an already stressful situation much worse for those nearby."
20,767,Thursday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,115,Average,Neutral,Somewhat satsified,Miss Jigs,"I don’t recall completing the survey with the answers that were provided. It’s possible that I might have misunderstood some of the questions or submitted it unintentionally. However, the responses shown don’t seem to align with my typical views or preferences. If there’s a way to review or correct my input, I would appreciate the opportunity to do so, as I want to ensure that the feedback accurately reflects my experience or opinion."
21,1214,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,12/31/2018,60,Average,Somewhat safe,Somewhat satsified,Mr.Stones,"The airport personnel continuously ignored my request for assistance, even after I approached them multiple times. I was trying to get some information about a delayed flight, but they seemed indifferent to my concerns. Despite politely asking for updates and clarification, they either directed me to someone else or simply avoided making eye contact. This lack of responsiveness was frustrating, and it left me feeling completely disregarded, especially in such a stressful situation. It was disappointing to see such poor customer service from the staff during a time when passengers needed support the most."
22,1373,Tuesday,UNITED INTL,SHANGHAI,Asia,Hub     ,Gates 91-102,12/31/2018,145,Clean,Very safe,Somewhat satsified,Mr.Dan,"The chair I sat in was extremely uncomfortable, making the long wait at the airport even more unbearable. It lacked proper cushioning and support, causing discomfort after just a short period. Despite trying to shift positions to find some relief, the hard surface and poor design made it impossible to get comfortable. This added to the overall frustration of an already tiring day, as I had no choice but to sit there for hours, enduring the physical discomfort while waiting for my delayed flight. It was disappointing that the seating provided was of such low quality in a place where people spend significant amounts of time."
23,1263,Thursday,UNITED INTL,TOKYO-NARITA,Asia,Hub,Gates 91-102,12/31/2018,210,Average,Neutral,Neutral,Ms.Bob,"I wish this airport were more like other airports that prioritize the comfort and convenience of their travelers. The facilities here seem outdated and lack many of the amenities I’ve come to expect when traveling. For example, other airports offer better seating, a wider range of food options, and more efficient customer service. The layout is also confusing, and finding basic services like restrooms or charging stations was more difficult than it should have been. Overall, it would greatly improve the experience if this airport could modernize and provide a more traveler-friendly environment like many others do."
24,2723,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,160,Somewhat clean,Very safe,Somewhat satsified,Dr.Mos,"I was really unsatisfied with the wait times because they were much longer than expected, causing unnecessary frustration. Despite arriving at the airport well ahead of schedule, the lines for check-in, security, and even boarding seemed to move at an incredibly slow pace. There were few updates or explanations provided, which made the situation even more stressful. It felt as though the airport was understaffed or poorly organized, leaving passengers to wait without any clear sense of when things would improve. The overall inefficiency of the process left me disappointed and made the travel experience far more stressful than it should have been."
25,3097,Tuesday,UNITED,SPOKANE,West US,    Small,Gates 70-90,12/31/2018,604,Clean,Very safe,Very satisfied,Miss Volks,"The flight was generally okay, but I didn’t particularly enjoy the seating arrangements. The seats were cramped, leaving very little legroom, which made the long flight uncomfortable. Additionally, the seat padding wasn’t great, and after a few hours, it became difficult to find a comfortable position. The lack of in-flight entertainment options also made the experience less enjoyable, as there were few distractions to pass the time. Although the staff were friendly and the flight itself was smooth, the overall comfort level left much to be desired, especially for such a long journey."
27,214,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,100,Average,Somewhat safe,Somewhat satsified,Mr.Jones,"We were significantly slowed down by the security measures at the airport, which took far longer than expected. The line seemed to move at a snail’s pace, and the security staff, though thorough, didn’t seem to be working efficiently. Many passengers were confused about the process, which only added to the delays. The screening procedures felt overly strict, with many people being pulled aside for additional checks, even though they had followed the initial instructions carefully. This caused unnecessary stress and frustration, making it difficult for many of us to reach our gates on time. The entire experience was exhausting and could have been handled in a more organized and efficient manner."
28,1372,Tuesday,UNITED INTL,PARIS-DE GAULLE,eur,    Hub,Gates 91-102,12/31/2018,205,Somewhat clean,Very safe,Somewhat satsified,Mr.Bim,"I felt very unsatisfied by how long the flight was, especially since it exceeded the expected duration by a significant margin. The extended hours in the air made the experience feel exhausting and tedious. As the minutes dragged on, the discomfort of the cramped seating and lack of adequate entertainment options became increasingly frustrating. I had hoped for a more pleasant journey, but the prolonged flight left me feeling restless and impatient. Furthermore, the limited snacks and beverage service did little to alleviate the discomfort. Overall, the long flight dampened my travel experience, making it far less enjoyable than I had anticipated."
29,1956,Tuesday,UNITED,BOSTON,East US,Large,Gates 70-90,12/31/2018,115,Somewhat clean,Somewhat safe,Somewhat satsified,Ms.Craig,"There was a spill on the aisle next to the bathroom, creating quite a mess and an unpleasant situation for passengers. The liquid spread across the floor, making it hazardous for anyone walking by. People were carefully navigating around it, trying to avoid slipping and falling. It was frustrating to see that no airport staff had come to clean it up promptly, which only added to the chaos. The unpleasant odor from the spill lingered in the air, making the atmosphere even less enjoyable for everyone nearby. Overall, the situation highlighted the need for better maintenance and cleanliness in the airport."
30,1716,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,510,Clean,Neutral,Very satisfied,Dr.Tol,It was terrible
31,1487,Wednesday,HAWAIIAN AIR,HONOLULU,West US,Medium     ,Gates 1-12,12/31/2018,135,Clean,Very safe,Somewhat satsified,Miss Jigs,I did not like the flight
32,842,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,    Hub,Gates 50-59,12/31/2018,145,Somewhat clean,Very safe,Somewhat satsified,Mr.Stones,I hate this
33,930,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,270,Average,Somewhat safe,Somewhat satsified,Mr.Dan,Not a fan
34,3064,Sunday,COPA,PANAMA CITY,Central/South America,Medium,Gates 1-12,12/31/2018,173,Average,Neutral,Neutral,Ms.Bob,Bad
35,743,Sunday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,12/31/2018,100,Somewhat clean,Very safe,Somewhat satsified,Dr.Mos,Horrible
36,2099,Monday,UNITED INTL,MEXICO CITY,Canada/Mexico,Hub,Gates 91-102,12/31/2018,190,Clean,Very safe,Neutral,Miss Volks,Very poor
37,315,Thursday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,12/31/2018,92,Somewhat clean,Very safe,Somewhat satsified,Mr.Jones,Unacceptable flight
38,2216,Thursday,SOUTHWEST,PHOENIX,West US,Hub,Gates 20-39,12/31/2018,135,Somewhat clean,Very safe,Very satisfied,Mr.Bim,It was awful
39,3121,Sunday,ALASKA,NEWARK,East US,Hub,Gates 50-59,12/31/2018,125,Clean,Very safe,Neutral,Ms.Craig,My fllight was really unpleasant
41,2890,Sunday,WOW,REYKJAVIK,Europe,Small,Gates 1-12,12/31/2018,145,Average,Neutral,Somewhat satsified,Dr.Tol,I am not a fan
42,3046,Tuesday,AMERICAN,LOS ANGELES,West US,Hub     ,Gates 50-59,12/31/2018,120,Average,Very safe,Very satisfied,Miss Jigs,I had a bad flight
43,3183,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,12/31/2018,900,Somewhat clean,Somewhat safe,Somewhat satsified,Mr.Stones,It was very bad
44,2288,Tuesday,UNITED,SAN ANTONIO,Midwest US,    Medium,Gates 70-90,12/31/2018,150,Clean,Very safe,Very satisfied,Mr.Dan,it was horrible
45,2740,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,eur,    Hub,Gates 1-12,12/31/2018,330,Average,Very unsafe,Somewhat satsified,Ms.Bob,Terrible
46,1570,Wednesday,UNITED INTL,HONG KONG,Asia,Hub,Gates 91-102,12/31/2018,150,Clean,Somewhat safe,Somewhat satsified,Dr.Mos,It was substandard
47,3228,Thursday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,12/31/2018,110,Clean,Very safe,Somewhat satsified,Miss Volks,"The airport personnel failed to notify us about the delay, which caused significant confusion and inconvenience. We were left uninformed, missing crucial updates regarding our flight status, which led to unnecessary waiting and frustration among all the passengers. The lack of communication was disappointing"
48,1140,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,415,Somewhat clean,Very safe,Somewhat satsified,Mr.Jones,"The food at the airport was incredibly expensive, far more than what I had anticipated. Every option, whether it was a snack or a meal, seemed overpriced. It felt like they were taking advantage of travelers, leaving us with no affordable dining alternatives while waiting for our flights"
49,349,Friday,ALASKA,SAN DIEGO,West US,Medium,Gates 50-59,12/31/2018,76,Clean,Very safe,Very satisfied,Mr.Bim,"One of the other travelers was extremely loud and disruptive throughout the entire waiting period at the airport. They were talking on their phone at a high volume, seemingly unaware of how uncomfortable they were making everyone around them. Despite multiple people giving them looks, they continued without any consideration for the rest of the passengers. It made an already stressful situation much worse for those nearby."
50,1572,Wednesday,UNITED INTL,HONG KONG,Asia,Hub,Gates 91-102,12/31/2018,150,Somewhat clean,Neutral,Very satisfied,Ms.Craig,"I don’t recall completing the survey with the answers that were provided. It’s possible that I might have misunderstood some of the questions or submitted it unintentionally. However, the responses shown don’t seem to align with my typical views or preferences. If there’s a way to review or correct my input, I would appreciate the opportunity to do so, as I want to ensure that the feedback accurately reflects my experience or opinion."
52,1635,Thursday,KOREAN AIR,SEOUL,Asia,Hub,Gates 1-12,12/31/2018,210,Somewhat dirty,Somewhat safe,Neutral,Dr.Tol,"The airport personnel continuously ignored my request for assistance, even after I approached them multiple times. I was trying to get some information about a delayed flight, but they seemed indifferent to my concerns. Despite politely asking for updates and clarification, they either directed me to someone else or simply avoided making eye contact. This lack of responsiveness was frustrating, and it left me feeling completely disregarded, especially in such a stressful situation. It was disappointing to see such poor customer service from the staff during a time when passengers needed support the most."
56,524,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,12/31/2018,165,Somewhat clean,Somewhat safe,Neutral,Miss Jigs,"The chair I sat in was extremely uncomfortable, making the long wait at the airport even more unbearable. It lacked proper cushioning and support, causing discomfort after just a short period. Despite trying to shift positions to find some relief, the hard surface and poor design made it impossible to get comfortable. This added to the overall frustration of an already tiring day, as I had no choice but to sit there for hours, enduring the physical discomfort while waiting for my delayed flight. It was disappointing that the seating provided was of such low quality in a place where people spend significant amounts of time."
57,1139,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,12/31/2018,120,Average,Very safe,Somewhat satsified,Mr.Stones,"I wish this airport were more like other airports that prioritize the comfort and convenience of their travelers. The facilities here seem outdated and lack many of the amenities I’ve come to expect when traveling. For example, other airports offer better seating, a wider range of food options, and more efficient customer service. The layout is also confusing, and finding basic services like restrooms or charging stations was more difficult than it should have been. Overall, it would greatly improve the experience if this airport could modernize and provide a more traveler-friendly environment like many others do."
58,314,Thursday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,12/31/2018,122,Clean,Very safe,Very satisfied,Mr.Dan,"I was really unsatisfied with the wait times because they were much longer than expected, causing unnecessary frustration. Despite arriving at the airport well ahead of schedule, the lines for check-in, security, and even boarding seemed to move at an incredibly slow pace. There were few updates or explanations provided, which made the situation even more stressful. It felt as though the airport was understaffed or poorly organized, leaving passengers to wait without any clear sense of when things would improve. The overall inefficiency of the process left me disappointed and made the travel experience far more stressful than it should have been."
59,558,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,12/31/2018,225,Somewhat clean,Somewhat safe,Somewhat satsified,Ms.Bob,"The flight was generally okay, but I didn’t particularly enjoy the seating arrangements. The seats were cramped, leaving very little legroom, which made the long flight uncomfortable. Additionally, the seat padding wasn’t great, and after a few hours, it became difficult to find a comfortable position. The lack of in-flight entertainment options also made the experience less enjoyable, as there were few distractions to pass the time. Although the staff were friendly and the flight itself was smooth, the overall comfort level left much to be desired, especially for such a long journey."
60,262,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,175,Somewhat clean,Somewhat safe,Somewhat satsified,Dr.Mos,"We were significantly slowed down by the security measures at the airport, which took far longer than expected. The line seemed to move at a snail’s pace, and the security staff, though thorough, didn’t seem to be working efficiently. Many passengers were confused about the process, which only added to the delays. The screening procedures felt overly strict, with many people being pulled aside for additional checks, even though they had followed the initial instructions carefully. This caused unnecessary stress and frustration, making it difficult for many of us to reach our gates on time. The entire experience was exhausting and could have been handled in a more organized and efficient manner."
61,2537,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,    Hub,Gates 60-69,12/31/2018,115,Clean,Very safe,Very satisfied,Miss Volks,"I felt very unsatisfied by how long the flight was, especially since it exceeded the expected duration by a significant margin. The extended hours in the air made the experience feel exhausting and tedious. As the minutes dragged on, the discomfort of the cramped seating and lack of adequate entertainment options became increasingly frustrating. I had hoped for a more pleasant journey, but the prolonged flight left me feeling restless and impatient. Furthermore, the limited snacks and beverage service did little to alleviate the discomfort. Overall, the long flight dampened my travel experience, making it far less enjoyable than I had anticipated."
62,1713,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,135,Average,Very safe,Somewhat satsified,Mr.Jones,"There was a spill on the aisle next to the bathroom, creating quite a mess and an unpleasant situation for passengers. The liquid spread across the floor, making it hazardous for anyone walking by. People were carefully navigating around it, trying to avoid slipping and falling. It was frustrating to see that no airport staff had come to clean it up promptly, which only added to the chaos. The unpleasant odor from the spill lingered in the air, making the atmosphere even less enjoyable for everyone nearby. Overall, the situation highlighted the need for better maintenance and cleanliness in the airport."
63,407,Saturday,UNITED,PHOENIX,West US,Hub,Gates 70-90,12/31/2018,110,Clean,Very safe,Somewhat satsified,Mr.Bim,It was terrible
64,3212,Thursday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,90,Somewhat clean,Somewhat safe,Somewhat unsatisfied,Ms.Craig,I did not like the flight
65,450,Sunday,UNITED,INDIANAPOLIS,Midwest US,Medium,Gates 60-69,12/31/2018,68,Clean,Somewhat safe,Very satisfied,Dr.Tol,I hate this
66,1477,Wednesday,AVIANCA,SAN SALVADOR,Central/South America,Small,Gates 1-12,12/31/2018,155,Clean,Very safe,Very satisfied,Miss Jigs,Not a fan
67,3151,Thursday,DELTA,SALT LAKE CITY,West US,Medium,Gates 40-48,12/31/2018,15,Average,Very safe,Neutral,Mr.Stones,Bad
68,2257,Wednesday,UNITED,LOS ANGELES,West US,Hub,Gates 60-69,12/31/2018,65,Clean,Very safe,Very satisfied,Mr.Dan,Horrible
69,2400,Wednesday,UNITED INTL,BEIJING,Asia,Hub,Gates 91-102,12/31/2018,205,Clean,Very safe,Somewhat satsified,Ms.Bob,Very poor
70,2230,Wednesday,AER LINGUS,DUBLIN,Europe,Large,Gates 91-102,12/31/2018,300,Average,Somewhat safe,Neutral,Dr.Mos,Unacceptable flight
71,2865,Wednesday,UNITED,WASHINGTON DC-DULLES,East US,Medium,Gates 70-90,12/31/2018,77,Average,Very safe,Somewhat satsified,Miss Volks,It was awful
72,387,Friday,ALASKA,INDIANAPOLIS,Midwest US,    Medium,Gates 50-59,12/31/2018,160,Clean,Very safe,Very satisfied,Mr.Jones,My fllight was really unpleasant
73,1957,Friday,CATHAY PACIFIC,HONG KONG,Asia,Hub     ,Gates 1-12,12/31/2018,185,Somewhat clean,Neutral,Somewhat satsified,Mr.Bim,I am not a fan
74,2526,Tuesday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,60,Somewhat clean,Somewhat safe,Somewhat satsified,Ms.Craig,I had a bad flight
75,3041,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,    Hub,Gates 50-59,12/31/2018,185,Somewhat clean,Very safe,Somewhat satsified,Dr.Tol,It was very bad
76,813,Sunday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,12/31/2018,140,Somewhat clean,Very safe,Somewhat satsified,Miss Jigs,it was horrible
77,1523,Wednesday,JETBLUE,NEW YORK-JFK,EAST US,    Hub,Gates 1-12,12/31/2018,81,Somewhat clean,Very safe,Somewhat satsified,Mr.Stones,Terrible
78,2796,Sunday,WOW,REYKJAVIK,Europe,Small,Gates 1-12,12/31/2018,160,Somewhat clean,Somewhat safe,Somewhat satsified,Mr.Dan,It was substandard
79,3255,Tuesday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,12/31/2018,105,Average,Somewhat safe,Neutral,Ms.Bob,"The airport personnel failed to notify us about the delay, which caused significant confusion and inconvenience. We were left uninformed, missing crucial updates regarding our flight status, which led to unnecessary waiting and frustration among all the passengers. The lack of communication was disappointing"
80,2042,Friday,BRITISH AIRWAYS,LONDON HEATHROW,Europe,Hub,Gates 1-12,12/31/2018,180,Somewhat clean,Very safe,Somewhat satsified,Dr.Mos,"The food at the airport was incredibly expensive, far more than what I had anticipated. Every option, whether it was a snack or a meal, seemed overpriced. It felt like they were taking advantage of travelers, leaving us with no affordable dining alternatives while waiting for our flights"
81,3062,Sunday,PHILIPPINE AIRLINES,MANILA,Asia,Medium,Gates 1-12,1/1/2018,215,Clean,Somewhat safe,Somewhat satsified,Miss Volks,"One of the other travelers was extremely loud and disruptive throughout the entire waiting period at the airport. They were talking on their phone at a high volume, seemingly unaware of how uncomfortable they were making everyone around them. Despite multiple people giving them looks, they continued without any consideration for the rest of the passengers. It made an already stressful situation much worse for those nearby."
82,2026,Friday,BRITISH AIRWAYS,LONDON HEATHROW,Europe,Hub,Gates 1-12,12/31/2018,120,Somewhat clean,Somewhat safe,Somewhat satsified,Mr.Jones,"I don’t recall completing the survey with the answers that were provided. It’s possible that I might have misunderstood some of the questions or submitted it unintentionally. However, the responses shown don’t seem to align with my typical views or preferences. If there’s a way to review or correct my input, I would appreciate the opportunity to do so, as I want to ensure that the feedback accurately reflects my experience or opinion."
83,1793,Saturday,UNITED,RALEIGH-DURHAM,East US,Medium,Gates 70-90,12/31/2018,150,Clean,Somewhat safe,Somewhat satsified,Mr.Bim,"The airport personnel continuously ignored my request for assistance, even after I approached them multiple times. I was trying to get some information about a delayed flight, but they seemed indifferent to my concerns. Despite politely asking for updates and clarification, they either directed me to someone else or simply avoided making eye contact. This lack of responsiveness was frustrating, and it left me feeling completely disregarded, especially in such a stressful situation. It was disappointing to see such poor customer service from the staff during a time when passengers needed support the most."
84,1366,Tuesday,UNITED INTL,KANSAI,Asia,Hub,Gates 91-102,12/31/2018,170,Clean,Very safe,Somewhat satsified,Ms.Craig,"The chair I sat in was extremely uncomfortable, making the long wait at the airport even more unbearable. It lacked proper cushioning and support, causing discomfort after just a short period. Despite trying to shift positions to find some relief, the hard surface and poor design made it impossible to get comfortable. This added to the overall frustration of an already tiring day, as I had no choice but to sit there for hours, enduring the physical discomfort while waiting for my delayed flight. It was disappointing that the seating provided was of such low quality in a place where people spend significant amounts of time."
85,1017,Friday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,12/31/2018,110,Somewhat clean,Very safe,Somewhat satsified,Dr.Tol,"I wish this airport were more like other airports that prioritize the comfort and convenience of their travelers. The facilities here seem outdated and lack many of the amenities I’ve come to expect when traveling. For example, other airports offer better seating, a wider range of food options, and more efficient customer service. The layout is also confusing, and finding basic services like restrooms or charging stations was more difficult than it should have been. Overall, it would greatly improve the experience if this airport could modernize and provide a more traveler-friendly environment like many others do."
86,2501,Friday,ALASKA,SALT LAKE CITY,West US,    Medium,Gates 1-12,12/31/2018,120,Somewhat clean,Neutral,Somewhat satsified,Miss Jigs,"I was really unsatisfied with the wait times because they were much longer than expected, causing unnecessary frustration. Despite arriving at the airport well ahead of schedule, the lines for check-in, security, and even boarding seemed to move at an incredibly slow pace. There were few updates or explanations provided, which made the situation even more stressful. It felt as though the airport was understaffed or poorly organized, leaving passengers to wait without any clear sense of when things would improve. The overall inefficiency of the process left me disappointed and made the travel experience far more stressful than it should have been."
88,3202,Sunday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,1/1/2018,210,Clean,Neutral,Somewhat satsified,Mr.Stones,"The flight was generally okay, but I didn’t particularly enjoy the seating arrangements. The seats were cramped, leaving very little legroom, which made the long flight uncomfortable. Additionally, the seat padding wasn’t great, and after a few hours, it became difficult to find a comfortable position. The lack of in-flight entertainment options also made the experience less enjoyable, as there were few distractions to pass the time. Although the staff were friendly and the flight itself was smooth, the overall comfort level left much to be desired, especially for such a long journey."
89,1747,Monday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,12/31/2018,205,Clean,Very safe,Very satisfied,Mr.Dan,"We were significantly slowed down by the security measures at the airport, which took far longer than expected. The line seemed to move at a snail’s pace, and the security staff, though thorough, didn’t seem to be working efficiently. Many passengers were confused about the process, which only added to the delays. The screening procedures felt overly strict, with many people being pulled aside for additional checks, even though they had followed the initial instructions carefully. This caused unnecessary stress and frustration, making it difficult for many of us to reach our gates on time. The entire experience was exhausting and could have been handled in a more organized and efficient manner."
90,1954,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,245,Clean,Very safe,Very satisfied,Ms.Bob,"I felt very unsatisfied by how long the flight was, especially since it exceeded the expected duration by a significant margin. The extended hours in the air made the experience feel exhausting and tedious. As the minutes dragged on, the discomfort of the cramped seating and lack of adequate entertainment options became increasingly frustrating. I had hoped for a more pleasant journey, but the prolonged flight left me feeling restless and impatient. Furthermore, the limited snacks and beverage service did little to alleviate the discomfort. Overall, the long flight dampened my travel experience, making it far less enjoyable than I had anticipated."
91,643,Thursday,ALASKA,NEW ORLEANS,Midwest US,Medium,Gates 50-59,12/31/2018,160,Somewhat clean,Neutral,Somewhat satsified,Dr.Mos,"There was a spill on the aisle next to the bathroom, creating quite a mess and an unpleasant situation for passengers. The liquid spread across the floor, making it hazardous for anyone walking by. People were carefully navigating around it, trying to avoid slipping and falling. It was frustrating to see that no airport staff had come to clean it up promptly, which only added to the chaos. The unpleasant odor from the spill lingered in the air, making the atmosphere even less enjoyable for everyone nearby. Overall, the situation highlighted the need for better maintenance and cleanliness in the airport."
93,2258,Wednesday,WOW,REYKJAVIK,Europe,Small,Gates 91-102,12/31/2018,355,Somewhat clean,Somewhat safe,Somewhat satsified,Miss Volks,It was terrible
94,2334,Tuesday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,12/31/2018,155,Clean,Very safe,Very satisfied,Mr.Jones,I did not like the flight
95,1887,Tuesday,UNITED,BOSTON,East US,Large,Gates 70-90,12/31/2018,85,Somewhat clean,Neutral,Neutral,Mr.Bim,I hate this
97,363,Friday,LUFTHANSA,FRANKFURT,Europe,Hub,Gates 91-102,12/31/2018,180,Somewhat clean,Somewhat safe,Somewhat satsified,Ms.Craig,Not a fan
99,2443,Tuesday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,177,Clean,Very safe,Somewhat satsified,Dr.Tol,Bad
100,2321,Wednesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,130,Somewhat clean,Somewhat safe,Somewhat satsified,Miss Jigs,Horrible
101,1593,Thursday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,50,Clean,Very safe,Very satisfied,Mr.Stones,Very poor
103,716,Wednesday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,270,Clean,Very safe,Very satisfied,Mr.Dan,Unacceptable flight
104,2320,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,Hub,Gates 1-12,12/31/2018,150,Somewhat clean,Somewhat safe,Somewhat satsified,Ms.Bob,It was awful
106,2038,Friday,BRITISH AIRWAYS,LONDON HEATHROW,eur,    Hub,Gates 1-12,12/31/2018,150,Average,Somewhat safe,Neutral,Dr.Mos,My fllight was really unpleasant
107,550,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,12/31/2018,245,Somewhat clean,Somewhat safe,Somewhat satsified,Miss Volks,I am not a fan
108,746,Sunday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,12/31/2018,120,Clean,Very safe,Very satisfied,Mr.Jones,I had a bad flight
109,2739,Friday,UNITED,KAHULUI,West US,Small,Gates 60-69,12/31/2018,32,Somewhat clean,Very safe,Somewhat satsified,Mr.Bim,It was very bad
